date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:55:37	51837/51837	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:29%20GMT	https://www.alliancelaptoptraining.com.np/course/14	E:/Rk/www.alliancelaptoptraining.com.np/course/14.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:37	44429/44429	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:30%20GMT	https://www.alliancelaptoptraining.com.np/course/26	E:/Rk/www.alliancelaptoptraining.com.np/course/26.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:37	38937/38937	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:30%20GMT	https://www.alliancelaptoptraining.com.np/course/17	E:/Rk/www.alliancelaptoptraining.com.np/course/17.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:37	38938/38938	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:30%20GMT	https://www.alliancelaptoptraining.com.np/course/18	E:/Rk/www.alliancelaptoptraining.com.np/course/18.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:38	38965/38965	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:31%20GMT	https://www.alliancelaptoptraining.com.np/course/19	E:/Rk/www.alliancelaptoptraining.com.np/course/19.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:38	61028/61028	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:31%20GMT	https://www.alliancelaptoptraining.com.np/gallery	E:/Rk/www.alliancelaptoptraining.com.np/gallery.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:39	43772/43772	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:31%20GMT	https://www.alliancelaptoptraining.com.np/front_blog	E:/Rk/www.alliancelaptoptraining.com.np/front_blog.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:39	38395/38395	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:32%20GMT	https://www.alliancelaptoptraining.com.np/repair	E:/Rk/www.alliancelaptoptraining.com.np/repair.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:39	38482/38482	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:32%20GMT	https://www.alliancelaptoptraining.com.np/sales	E:/Rk/www.alliancelaptoptraining.com.np/sales.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:39	38263/38263	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:32%20GMT	https://www.alliancelaptoptraining.com.np/student-result	E:/Rk/www.alliancelaptoptraining.com.np/student-result.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:40	37844/37844	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:33%20GMT	https://www.alliancelaptoptraining.com.np/contact	E:/Rk/www.alliancelaptoptraining.com.np/contact.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:41	118968/118968	---MC-	200	added ('OK')	text/html	date:Sat,%2014%20Dec%202019%2004:11:33%20GMT	https://www.alliancelaptoptraining.com.np/successfulstudents	E:/Rk/www.alliancelaptoptraining.com.np/successfulstudents.html	(from https://www.alliancelaptoptraining.com.np/)
21:55:42	392331/392331	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/2.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/2.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:42	333949/333949	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/1.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/1.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:45	44036/44036	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Jun%202018%2004:06:29%20GMT	https://www.alliancelaptoptraining.com.np/img/media/5b345ec44d4cb-IMG_2140.JPG	E:/Rk/www.alliancelaptoptraining.com.np/img/media/5b345ec44d4cb-IMG_2140.jpg	(from https://www.alliancelaptoptraining.com.np/)
21:55:45	308479/308479	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Feb%202018%2018:25:12%20GMT	https://www.alliancelaptoptraining.com.np/front/img/hero4.jpg	E:/Rk/www.alliancelaptoptraining.com.np/front/img/hero4.jpg	(from https://www.alliancelaptoptraining.com.np/)
